person,job,label,theme,text
שלמה קרעי,חבר כנסת הליכוד,4,על כוונות הקואליציה החדשה,"הם מחוקקים חוק בקווי היסוד שלהם בהסכמים הקואליציונים שלא רק להגביל את הכהונה שלו כראש ממשלה, שהוא לא יוכל בכלל להתמודד בכנסת"
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",3,"על הצטרפות רע""ם לקואליציה",זאת פעם ראשונה שמפלגה ערבית שותפה להקמת ממשלה
ינון אזולאי,"חבר כנסת ש""ס",4,על חלוקת התפקידים בקואליציה,אני עדיין לא ראיתי ממשלה ששניים מאותה מפלגה לוקחים גם את ועדת כספים וגם את משרד האוצר
מוחמד ברכה,"יו""ר ועדת המעקב של ערביי ישראל",5,על פגיעה בבתי כנסת בלוד,לא הייתה פגיעה בשום בית כנסת בלוד
מירב בן-ארי,חברת כנסת יש עתיד,5,על הכוונה לחסן בני נוער,"רוצים לחסן ילדים על-סמך ניסוי שנוסה על 2,200 ילדים. אין הצדקה אפידמיולוגית קלינית לחסן ילדים וידוע שהם לא מדביקים"
אלי כהן,שר המודיעין הליכוד,4,על גידול האוכלוסייה בעוטף עזה,במהלך העשור האחרון עוטף עזה הפך לאזור פורח עם כמעט הכפלה של האוכלוסייה שנמצאת שם
מירי רגב,שרת התחבורה הליכוד,2,על הכספים הקטאריים לחמאס,"הכסף הזה עבר בתקופתו של ליברמן, בתקופתו של בוגי"
עיסאווי פריג',חבר כנסת מרצ,2,על עליית יהודים להר הבית,בסטטוס קוו שהיה עד שנת 2000 מבקרים יהודים יכולים לעלות להר הבית
אבי דיכטר,חבר כנסת הליכוד,0,על השקפת העולם של מרצ,מרצ דרשה להחליף את המנון התקווה באינטרנציונל
שמחה רוטמן,חבר כנסת הציונות הדתית,1,"על האפשרות להקים ממשלה בתמיכת רע""ם",ממשלת מיעוט מעולם לא קמה במדינת ישראל
אמילי מואטי,חברת כנסת העבודה,1,על התגובה לביטול משפטו של רוצח שרה אלימי בצרפת,"לפי החוק הישראלי, אזרח ישראלי יכול לפנות לבימש על עבירה [בחול] על רקע אנטישמי"
מרב מיכאלי,"יו""ר העבודה העבודה",1,על הרצל וזכויות נשים,"מחזון הרצל למדינת היהודים נעדרת המילה שוויון, ונשים מוזכרות רק בהקשרי הריון ולידה או כדבר שיש 'לתת ולקחת' למען האומה"
בנימין נתניהו,ראש הממשלה הליכוד,5,על הפתרון שלו לפלונטר הפוליטי,"הציבור יחליט מי ירכיב את הממשלה, ולאחר מכן אפשר יהיה להפיל אותה באי-אמון קונסטרוקטיבי. עושים את זה בהרבה מדינות, כולל אירופה"
אלעזר שטרן,חבר כנסת יש עתיד,4,"על הטיפול של אגף השיקום בנכי צה""ל","כמות נכי צהל הולכת וגדלה עם השנים, למרות שהמלחמות הולכות ופוחתות"
מירב בן-ארי,חברת כנסת יש עתיד,1,על זהות יושבי ראש הכנסת לדורותיהם,עד היום בכל ה-70 שנה הייתה יושבת ראש [כנסת] אחת
שרן השכל,חברת כנסת תקווה חדשה,2,על הבקשה שלא תיכנס למליאת הכנסת עם תינוקת,אכן התבקשתי לצאת מהמליאה. בפרוטוקול אסור להכניס תינוקות למליאת הכנסת
אבי דיכטר,חבר כנסת הליכוד,0,"על ביטול מעקב השב""כ אחרי מגעים עם חולי קורונה","לפי משרד הבריאות, איכוני שבכ מנעו 210 מתים ו-30 אלף חולים מקורונה בחודשיים האחרונים"
יועז הנדל,חבר כנסת תקווה חדשה,5,על ניסיון להטעות את בוחריו ביום הבחירות,הקימו מפלגת קש כדי לגרום לאובדן קולות של תקווה חדשה. נתניהו מפחד רק מהמנדטים של תקווה חדשה [...] הוא ינסה לרמות
בנימין נתניהו,ראש הממשלה הליכוד,5,על תמיכתו בהתיישבות יהודית מעבר לקו הירוק,"אוכלוסיית יהודה ושומרון הכפילה את עצמה בעשור האחרון. חרף כל הקשיים, היא הכפילה!"
יובל שטייניץ,שר האנרגיה הליכוד,3,על טיפולו במשבר הכלכלי ב-2009,"כשנתניהו מינה אותי לאוצר התקרבנו ל-10% אבטלה, והתחזיות היו שכמו ספרד, יוון ואיטליה נגיע גם ל-25%. בפחות משנה הורדנו את האבטלה למינימום לפני כולם"
שלמה קרעי,חבר כנסת הליכוד,4,על כוונות הקואליציה החדשה,"הם מחוקקים חוק בקווי היסוד שלהם בהסכמים הקואליציונים שלא רק להגביל את הכהונה שלו כראש ממשלה, שהוא לא יוכל בכלל להתמודד בכנסת"
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",3,"על הצטרפות רע""ם לקואליציה",זאת פעם ראשונה שמפלגה ערבית שותפה להקמת ממשלה
ינון אזולאי,"חבר כנסת ש""ס",4,על חלוקת התפקידים בקואליציה,אני עדיין לא ראיתי ממשלה ששניים מאותה מפלגה לוקחים גם את ועדת כספים וגם את משרד האוצר
מוחמד ברכה,"יו""ר ועדת המעקב של ערביי ישראל",5,על פגיעה בבתי כנסת בלוד,לא הייתה פגיעה בשום בית כנסת בלוד
מירב בן-ארי,חברת כנסת יש עתיד,5,על הכוונה לחסן בני נוער,"רוצים לחסן ילדים על-סמך ניסוי שנוסה על 2,200 ילדים. אין הצדקה אפידמיולוגית קלינית לחסן ילדים וידוע שהם לא מדביקים"
אלי כהן,שר המודיעין הליכוד,4,על גידול האוכלוסייה בעוטף עזה,במהלך העשור האחרון עוטף עזה הפך לאזור פורח עם כמעט הכפלה של האוכלוסייה שנמצאת שם
מירי רגב,שרת התחבורה הליכוד,2,על הכספים הקטאריים לחמאס,"הכסף הזה עבר בתקופתו של ליברמן, בתקופתו של בוגי"
עיסאווי פריג',חבר כנסת מרצ,2,על עליית יהודים להר הבית,בסטטוס קוו שהיה עד שנת 2000 מבקרים יהודים יכולים לעלות להר הבית
אבי דיכטר,חבר כנסת הליכוד,0,על השקפת העולם של מרצ,מרצ דרשה להחליף את המנון התקווה באינטרנציונל
שמחה רוטמן,חבר כנסת הציונות הדתית,1,"על האפשרות להקים ממשלה בתמיכת רע""ם",ממשלת מיעוט מעולם לא קמה במדינת ישראל
אמילי מואטי,חברת כנסת העבודה,1,על התגובה לביטול משפטו של רוצח שרה אלימי בצרפת,"לפי החוק הישראלי, אזרח ישראלי יכול לפנות לבימש על עבירה [בחול] על רקע אנטישמי"
מרב מיכאלי,"יו""ר העבודה העבודה",1,על הרצל וזכויות נשים,"מחזון הרצל למדינת היהודים נעדרת המילה שוויון, ונשים מוזכרות רק בהקשרי הריון ולידה או כדבר שיש 'לתת ולקחת' למען האומה"
בנימין נתניהו,ראש הממשלה הליכוד,5,על הפתרון שלו לפלונטר הפוליטי,"הציבור יחליט מי ירכיב את הממשלה, ולאחר מכן אפשר יהיה להפיל אותה באי-אמון קונסטרוקטיבי. עושים את זה בהרבה מדינות, כולל אירופה"
אלעזר שטרן,חבר כנסת יש עתיד,4,"על הטיפול של אגף השיקום בנכי צה""ל","כמות נכי צהל הולכת וגדלה עם השנים, למרות שהמלחמות הולכות ופוחתות"
מירב בן-ארי,חברת כנסת יש עתיד,1,על זהות יושבי ראש הכנסת לדורותיהם,עד היום בכל ה-70 שנה הייתה יושבת ראש [כנסת] אחת
שרן השכל,חברת כנסת תקווה חדשה,2,על הבקשה שלא תיכנס למליאת הכנסת עם תינוקת,אכן התבקשתי לצאת מהמליאה. בפרוטוקול אסור להכניס תינוקות למליאת הכנסת
אבי דיכטר,חבר כנסת הליכוד,0,"על ביטול מעקב השב""כ אחרי מגעים עם חולי קורונה","לפי משרד הבריאות, איכוני שבכ מנעו 210 מתים ו-30 אלף חולים מקורונה בחודשיים האחרונים"
יועז הנדל,חבר כנסת תקווה חדשה,5,על ניסיון להטעות את בוחריו ביום הבחירות,הקימו מפלגת קש כדי לגרום לאובדן קולות של תקווה חדשה. נתניהו מפחד רק מהמנדטים של תקווה חדשה [...] הוא ינסה לרמות
בנימין נתניהו,ראש הממשלה הליכוד,5,על תמיכתו בהתיישבות יהודית מעבר לקו הירוק,"אוכלוסיית יהודה ושומרון הכפילה את עצמה בעשור האחרון. חרף כל הקשיים, היא הכפילה!"
יובל שטייניץ,שר האנרגיה הליכוד,3,על טיפולו במשבר הכלכלי ב-2009,"כשנתניהו מינה אותי לאוצר התקרבנו ל-10% אבטלה, והתחזיות היו שכמו ספרד, יוון ואיטליה נגיע גם ל-25%. בפחות משנה הורדנו את האבטלה למינימום לפני כולם"
בנימין נתניהו,ראש הממשלה הליכוד,4,על המקום שבו ביקר בסיור בחירות בדרום,ראש הממשלה נתניהו ברהט
נפתלי בנט,"יו""ר ימינה ימינה",0,על התשלום השנתי למובטלים,אם תהפוך את המס בישראל למאוד נמוך [...] לא נבזבז 18 מיליארד שקל על דמי אבטלה כי לא יהיו כמעט מובטלים
אלי כהן,שר המודיעין הליכוד,3,על פתיחת החקירה בעניין ישראל בבית הדין הפלילי הבינלאומי,בית הדין קובע שגם הבנייה בירושלים היא עבירה
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,"על פסיקת בג""ץ לגבי גיור רפורמי בישראל","אחרי החלטת בגץ, כל אדם בעולם ייגש לרב רפורמי ויקבל אישור עלייה תוך 30 יום"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על תעסוקת חרדים,"אם החרדים יעבדו המדינה תרוויח 20 מיליארד שקל בשנה, שבהם אפשר להוסיף 20 בתיח, 2,000 רופאים, להגדיל פי 10 את קצבת הזקנה"
מרב מיכאלי,"יו""ר העבודה העבודה",4,על תוצאות המדיניות הכלכלית של נתניהו,הפערים בין עניים לעשירים בישראל בתקופת נתניהו הם הגבוהים אי פעם. העוני בתקופת נתניהו גדול מבכל תקופה אחרת
